date_found,filing_accession,ticker,company,signal_type,n_insiders,total_usd,score
2026-08-17,0001012975-26-000796,INFQ,"Infleqtion, Inc.",💰 CONVICTION,1,646836.3762,44.86476661229216
2026-08-19,0001213900-26-090894,NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC.",🤝 CLUSTER,2,198579.7439,51.78760967761135
2026-08-19,0001213900-26-090894,NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC.",🤝 CLUSTER,2,198579.7439,51.78760967761135
2026-08-19,0001213900-26-091231,NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC.",🤝 CLUSTER,2,198579.7439,51.78760967761135
2026-08-19,0001213900-26-091231,NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC.",🤝 CLUSTER,2,198579.7439,51.78760967761135
2026-08-19,0001213900-26-091415,CCHH,CCH Holdings Ltd,💰 CONVICTION,1,1440720.0000000002,46.951477510404885
2026-08-19,0000912282-26-001130,BGDE,"Big Digital Energy, Inc.",💰 CONVICTION,1,475048.38,44.060427048449235
2026-08-19,0000912282-26-001130,BGDE,"Big Digital Energy, Inc.",💰 CONVICTION,1,475048.38,44.060427048449235
2026-08-19,0000912282-26-001130,BGDE,"Big Digital Energy, Inc.",💰 CONVICTION,1,475048.38,44.060427048449235
2026-08-19,0000912282-26-001130,BGDE,"Big Digital Energy, Inc.",💰 CONVICTION,1,475048.38,44.060427048449235
2026-08-19,0000912282-26-001130,BGDE,"Big Digital Energy, Inc.",💰 CONVICTION,1,475048.38,44.060427048449235
2026-08-19,0000912282-26-001130,BGDE,"Big Digital Energy, Inc.",💰 CONVICTION,1,475048.38,44.060427048449235
2026-08-19,0000912282-26-001130,BGDE,"Big Digital Energy, Inc.",💰 CONVICTION,1,475048.38,44.060427048449235
2026-08-19,0000912282-26-001130,BGDE,"Big Digital Energy, Inc.",💰 CONVICTION,1,475048.38,44.060427048449235
2026-08-19,0001193125-26-357041,LIEN,"Chicago Atlantic BDC, Inc.",💰 CONVICTION,1,420807.36,43.74449996262648
2026-08-19,0001193125-26-357041,LIEN,"Chicago Atlantic BDC, Inc.",💰 CONVICTION,1,420807.36,43.74449996262648
2026-08-19,0001193125-26-357041,LIEN,"Chicago Atlantic BDC, Inc.",💰 CONVICTION,1,420807.36,43.74449996262648
2026-08-22,0001193125-26-360109,JEF,Jefferies Financial Group Inc.,💰 CONVICTION,1,324032894.12,61.06353459845582
2026-08-22,0001213900-26-092276,NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC.",🥇 GOLDEN,2,391478.9674,53.556250604685744
2026-08-22,0001213900-26-092276,NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC.",🥇 GOLDEN,2,391478.9674,53.556250604685744
2026-08-22,0001213900-26-092276,NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC.",🥇 GOLDEN,2,391478.9674,53.556250604685744
2026-08-22,0001213900-26-092276,NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC.",🥇 GOLDEN,2,391478.9674,53.556250604685744
2026-08-22,0001193125-26-357979,ENHA,Enhanced Group Inc.,💰 CONVICTION,1,2936657.66,48.80711993033486
2026-08-22,0001193125-26-357979,ENHA,Enhanced Group Inc.,💰 CONVICTION,1,2936657.66,48.80711993033486
2026-08-22,0001193125-26-357979,ENHA,Enhanced Group Inc.,💰 CONVICTION,1,2936657.66,48.80711993033486
2026-08-22,0001214659-26-010625,UUU,"UNIVERSAL SAFETY PRODUCTS, INC.",💰 CONVICTION,1,384736.7608,43.510982105361364
2026-08-22,0001214659-26-010625,UUU,"UNIVERSAL SAFETY PRODUCTS, INC.",💰 CONVICTION,1,384736.7608,43.510982105361364
2026-08-22,0001214659-26-010625,UUU,"UNIVERSAL SAFETY PRODUCTS, INC.",💰 CONVICTION,1,384736.7608,43.510982105361364
2026-08-22,0001214659-26-010625,UUU,"UNIVERSAL SAFETY PRODUCTS, INC.",💰 CONVICTION,1,384736.7608,43.510982105361364
2026-08-22,0001214659-26-010625,UUU,"UNIVERSAL SAFETY PRODUCTS, INC.",💰 CONVICTION,1,384736.7608,43.510982105361364
2026-08-22,0001214659-26-010625,UUU,"UNIVERSAL SAFETY PRODUCTS, INC.",💰 CONVICTION,1,384736.7608,43.510982105361364
2026-08-22,0001214659-26-010625,UUU,"UNIVERSAL SAFETY PRODUCTS, INC.",💰 CONVICTION,1,384736.7608,43.510982105361364
2026-08-22,0001214659-26-010625,UUU,"UNIVERSAL SAFETY PRODUCTS, INC.",💰 CONVICTION,1,384736.7608,43.510982105361364
2026-08-22,0001214659-26-010748,UUU,"UNIVERSAL SAFETY PRODUCTS, INC.",💰 CONVICTION,1,384736.7608,43.510982105361364
2026-08-22,0001214659-26-010748,UUU,"UNIVERSAL SAFETY PRODUCTS, INC.",💰 CONVICTION,1,384736.7608,43.510982105361364
2026-08-22,0001214659-26-010748,UUU,"UNIVERSAL SAFETY PRODUCTS, INC.",💰 CONVICTION,1,384736.7608,43.510982105361364
2026-08-22,0001214659-26-010748,UUU,"UNIVERSAL SAFETY PRODUCTS, INC.",💰 CONVICTION,1,384736.7608,43.510982105361364
2026-09-03,0002117905-26-000026,AUGO,Aura Minerals Inc.,💰 CONVICTION,1,21793631.2368,54.02997758837502
2026-09-03,0002117905-26-000026,AUGO,Aura Minerals Inc.,💰 CONVICTION,1,21793631.2368,54.02997758837502
2026-09-03,0002117905-26-000026,AUGO,Aura Minerals Inc.,💰 CONVICTION,1,21793631.2368,54.02997758837502
2026-09-03,0002117905-26-000026,AUGO,Aura Minerals Inc.,💰 CONVICTION,1,21793631.2368,54.02997758837502
2026-09-03,0002117905-26-000027,AUGO,Aura Minerals Inc.,💰 CONVICTION,1,21793631.2368,54.02997758837502
2026-09-03,0002117905-26-000028,AUGO,Aura Minerals Inc.,💰 CONVICTION,1,21793631.2368,54.02997758837502
2026-09-03,0001816092-26-000006,HWKN,HAWKINS INC,🥇 GOLDEN,2,261575.776,52.50558513432052
2026-09-03,0001626669-26-000006,HWKN,HAWKINS INC,🥇 GOLDEN,2,261575.776,52.50558513432052
2026-09-03,0000905148-26-004073,GPI,GROUP 1 AUTOMOTIVE INC,💰 CONVICTION,1,8285850.4413,51.51002254038892
2026-09-03,0000905148-26-004073,GPI,GROUP 1 AUTOMOTIVE INC,💰 CONVICTION,1,8285850.4413,51.51002254038892
